epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2021.04,1.32765,3.26228,1.50615,0.35652,0.41294,0.34373,0.18403,1.40219,4.15846,1.5433,0.000475154,0.000475154,0.000475154
2,3931.89,1.38774,2.30673,1.52494,0.57317,0.53811,0.5656,0.32708,1.32621,2.24468,1.48876,0.000888689,0.000888689,0.000888689
3,5837.2,1.39713,2.00595,1.52526,0.59513,0.52571,0.5863,0.35369,1.34142,2.25245,1.54476,0.00123935,0.00123935,0.00123935
