epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1912.38,1.32765,3.26228,1.50615,0.35652,0.41294,0.34373,0.18403,1.40219,4.15846,1.5433,0.000475154,0.000475154,0.000475154
2,3771.93,1.3476,2.23267,1.48501,0.51109,0.61681,0.58741,0.35039,1.31226,2.68286,1.45625,0.000763093,0.000763093,0.000763093
3,5606,1.30028,1.82096,1.45001,0.62072,0.49131,0.51643,0.31165,1.3489,2.67501,1.55429,0.000862404,0.000862404,0.000862404
4,7526.18,1.19729,1.508,1.37481,0.83415,0.76038,0.84119,0.57748,1.09352,1.32647,1.2818,0.000580174,0.000580174,0.000580174
5,9406.93,1.08544,1.23862,1.2905,0.8394,0.86532,0.89416,0.65598,0.94925,0.95307,1.15091,0.000297232,0.000297232,0.000297232
